domain,dimension,descriptor,salience,qualtrics_id
Contexts,Challenge Origin,There were ongoing negotiations between the Research Team and the Community,1,dynamics_c_challenge_0_1
Contexts,Challenge Origin,The Community identified the challenge or issue,0.8,dynamics_c_challenge_0_2
Contexts,Challenge Origin,The Community refined the challenge or issue,0.6,dynamics_c_challenge_0_3
Contexts,Challenge Origin,The Research Team refined the challenge or issue,0.4,dynamics_c_challenge_0_4
Contexts,Challenge Origin,The Research Team identified the challenge or issue,0.2,dynamics_c_challenge_0_5
Contexts,Diversity,There are overlaps in identity memberships between the Research Team and the Community,1,dynamics_c_diversity_0_1
Contexts,Diversity,Underrepresented and/or marginalized identities are a part of the Research Team,0.8,dynamics_c_diversity_0_2
Contexts,Diversity,The Research Team is diverse in multiple ways and represents a range of identities,0.6,dynamics_c_diversity_0_3
Contexts,Diversity,The Community is diverse in multiple ways and represents a range of identities,0.4,dynamics_c_diversity_0_4
Contexts,Diversity,Underrepresented and/or marginalized identities are a part of the Community,0.2,dynamics_c_diversity_0_5
Contexts,Resources,There were ongoing negotiations between the Research Team and the Community about the commitment of resources,1,dynamics_c_resources_0_1
Contexts,Resources,The Research Team contributed resources,0.8,dynamics_c_resources_0_2
Contexts,Resources,The Community contributed resources,0.6,dynamics_c_resources_0_3
Contexts,Resources,All resources were provided by the Research Team,0.4,dynamics_c_resources_0_4
Contexts,Resources,All resources were provided by the Community,0.2,dynamics_c_resources_0_5
Contexts,Trust,Building on a history of trust and collaboration,1,dynamics_c_trust_0_1
Contexts,Trust,Building on a history of trust and collaboration  the Research Team reached out to the Community,0.8,dynamics_c_trust_0_2
Contexts,Trust,There were ongoing trust-building efforts between the Research Institution and the Community,0.6,dynamics_c_trust_0_3
Contexts,Trust,Despite a history of mistrust  the Community reached out to the Research Team,0.4,dynamics_c_trust_0_4
Contexts,Trust,Despite a history of mistrust  the Research Team reached out to the Community,0.2,dynamics_c_trust_0_5
Partnership Processes,Beneficence,There were ongoing discussions to ensure both the Community and the Research Team would benefit,1,dynamics_p_benef_0_1
Partnership Processes,Beneficence,Benefits built upon and strengthened the Community’s cultural capital and wealth and agency,0.8,dynamics_p_benef_0_2
Partnership Processes,Beneficence,Benefits aligned with the goals and purposes of the project,0.6,dynamics_p_benef_0_3
Partnership Processes,Beneficence,The Community Partners benefitted from the processes,0.4,dynamics_p_benef_0_4
